Id,SalePrice
2658,128172.98991990444
2718,187098.53777988703
2414,203168.4269222098
1989,131517.8020949558
625,185845.05408815725
333,94109.88161923399
1327,102034.87205980835
858,142595.92148430576
95,208065.66379242192
1568,153220.237769995
2482,181938.36695052817
1364,122646.99902076885
2584,161202.76327217877
818,274780.84059742425
2673,163975.90709566037
2089,107604.02823050908
1297,178205.9171766166
790,116474.90053866262
2616,174137.03689584712
720,229376.39350566518
222,151111.60613902958
557,129696.3942653184
1148,215226.02729772002
2766,147748.6714941967
534,193932.42056536162
1452,111629.28226747975
630,152331.5349931747
2648,145888.90169881732
125,148545.75095160445
1904,49664.955934082434
1670,120014.01295375667
756,113002.5176471402
717,287484.52091390954
1032,161678.48149946425
852,229471.2988016053
1731,178580.67010907875
2639,118852.69211685663
2071,68449.68938597105
1267,123277.02757274109
1851,211321.94468565192
567,171406.51777999703
2439,229525.99587595207
1898,150678.12209167087
647,147313.66995914566
2256,229638.08228297043
979,98974.07345849031
1444,233606.67825220112
2485,106709.26630378375
157,108670.44561569858
88,113440.03281943913
2003,108803.64594245283
186,236255.74554705154
1425,271690.82417368033
2695,130419.03565702832
738,104368.15091575572
395,142254.84953665832
1353,167264.88463480712
1878,143302.71856302646
390,170393.0598200525
1456,249375.97773567244
1103,297587.9942191353
1387,134762.43624522112
2070,138192.8046725504
1199,166233.72964497696
2479,190336.15486661583
501,300239.3293312741
2362,87493.21135764709
1718,210118.51575219602
2188,83516.06034348591
1483,170711.35309664853
2557,99189.44105959378
437,338083.2245994892
2224,167353.35411933737
1628,199480.07381464448
397,130745.0668426845
587,201168.33894230175
2182,576172.1045362314
971,112043.2260723224
2611,127500.38075322087
1887,83360.47903967233
2399,335225.798390625
2148,228342.59001671209
304,130621.40331021155
1997,163237.4470911561
2817,133412.06596086005
1431,181298.60850971992
427,362109.03011610976
263,114286.68624735734
598,177443.6889225936
2895,241527.75928168814
687,146057.22955430765
1822,133676.95055616938
2191,91714.59261788259
179,118097.98815450649
1009,225663.56327932683
2010,116505.52652571443
1991,157538.45156199712
1411,164627.27226784854
1721,242973.90500077553
1144,195593.80644416425
593,217783.79782869143
575,296386.302762018
1249,178588.38375883026
1604,109152.54734186403
1064,403681.03705269814
1923,157762.17899036242
1988,107032.2078979669
2325,182514.84622042335
114,206704.9483288416
2700,185087.3215512549
217,103872.22651222639
343,175562.26365312724
386,250608.7647871548
2005,101202.20046123897
2908,114877.31346182415
1814,232594.7302612791
2446,450201.2794903622
208,174169.33867192594
1679,120002.71288396313
822,331907.4430689454
6,186437.18566944316
1781,379382.9830450357
2397,287395.5827233006
2340,283758.96800505207
1618,157190.12106876753
2843,147448.2238979939
1061,355003.65410625754
2786,113965.9741107834
1935,123400.17150036443
1341,138598.8826729003
521,284085.9335398225
2136,148647.62722808946
996,180063.01072603985
227,135433.47733667132
135,164121.43923738555
1167,152862.96999772853
294,234925.77580921288
1776,207293.02368015522
540,187435.5481971309
1717,210118.51575219602
2303,116738.98037373574
116,182381.85170916468
127,126610.4705798052
1371,125790.48002074356
1014,169794.97512940763
1507,76869.68477349827
702,141308.80008499912
750,161502.33828899456
261,141442.31413164473
1559,70847.16663848795
577,224830.10112311284
2812,213214.86798166018
2080,156063.9838625568
1368,113849.3674276922
2376,110087.59860019718
659,126186.230338172
1235,117986.71057115612
332,80512.00258928176
1917,131436.81019828253
2094,273765.8297290316
1460,284882.9839643836
1471,198860.26546553278
1509,108366.21578194713
1922,111891.65395065199
433,420456.33688085363
460,292159.3000395243
1116,245599.8704236393
1137,164982.56170519255
53,185312.19481350452
2354,262769.6704750357
1475,205622.15884070302
1761,525818.1563763171
842,127236.64576587407
